id_full,tree,id,style,top,left
kanzan_56,kanzan,56,position: absolute; top: 87.15%; left: 21.09%;,87.15,21.09
kanzan_45,kanzan,45,position: absolute; top: 47.39%; left: 21.09%;,47.39,21.09
kanzan_44,kanzan,44,position: absolute; top: 43.78%; left: 21.09%;,43.78,21.09
kanzan_43,kanzan,43,position: absolute; top: 40.16%; left: 21.09%;,40.16,21.09
kanzan_42,kanzan,42,position: absolute; top: 36.55%; left: 21.09%;,36.55,21.09
kanzan_41,kanzan,41,position: absolute; top: 32.93%; left: 21.09%;,32.93,21.09
kanzan_40,kanzan,40,position: absolute; top: 29.32%; left: 21.09%;,29.32,21.09
kanzan_39,kanzan,39,position: absolute; top: 25.7%; left: 21.09%;,25.7,21.09
kanzan_32,kanzan,32,position: absolute; top: 69.08%; left: 9.45%;,69.08,9.45
kanzan_21,kanzan,21,position: absolute; top: 29.32%; left: 9.45%;,29.32,9.45
kanzan_20,kanzan,20,position: absolute; top: 25.7%; left: 9.45%;,25.7,9.45
kanzan_19,kanzan,19,position: absolute; top: 90.76%; left: 5.82%;,90.76,5.82
kanzan_18,kanzan,18,position: absolute; top: 87.15%; left: 5.82%;,87.15,5.82
kanzan_17,kanzan,17,position: absolute; top: 83.53%; left: 5.82%;,83.53,5.82
kanzan_16,kanzan,16,position: absolute; top: 79.92%; left: 5.82%;,79.92,5.82
kanzan_15,kanzan,15,position: absolute; top: 76.31%; left: 5.82%;,76.31,5.82
kanzan_14,kanzan,14,position: absolute; top: 72.69%; left: 5.82%;,72.69,5.82
kanzan_9,kanzan,9,position: absolute; top: 54.62%; left: 5.82%;,54.62,5.82
kanzan_8,kanzan,8,position: absolute; top: 51%; left: 5.82%;,51,5.82
kanzan_7,kanzan,7,position: absolute; top: 47.39%; left: 5.82%;,47.39,5.82
kanzan_6,kanzan,6,position: absolute; top: 43.78%; left: 5.82%;,43.78,5.82
kanzan_5,kanzan,5,position: absolute; top: 40.16%; left: 5.82%;,40.16,5.82
kanzan_2,kanzan,2,position: absolute; top: 29.32%; left: 5.82%;,29.32,5.82
kanzan_99,kanzan,99,position: absolute; top: 53.61%; left: 35.64%;,53.61,35.64
ariake_154,ariake,154,position: absolute; top: 20.48%; left: 59.82%;,20.48,59.82
yedoensis_138,yedoensis,138,position: absolute; top: 77.51%; left: 64.36%;,77.51,64.36
shogetsu_137,shogetsu,137,position: absolute; top: 72.69%; left: 55.27%;,72.69,55.27
yedoensis_144,yedoensis,144,position: absolute; top: 14.86%; left: 84%;,14.86,84
pendula_148,pendula,148,position: absolute; top: 37.35%; left: 88.36%;,37.35,88.36
hatazakura_106,hatazakura,106,position: absolute; top: 81.73%; left: 39.64%;,81.73,39.64
pendula_149,pendula,149,position: absolute; top: 41.77%; left: 91.27%;,41.77,91.27
pendula_150,pendula,150,position: absolute; top: 46.99%; left: 93.82%;,46.99,93.82
rosy_cloud_104,rosy_cloud,104,position: absolute; top: 73.09%; left: 38.18%;,73.09,38.18
akebono_105,akebono,105,position: absolute; top: 77.71%; left: 40.36%;,77.71,40.36
prunus_snow_goose_147,prunus_snow_goose,147,position: absolute; top: 26.1%; left: 86.91%;,26.1,86.91
subhirtella_159,subhirtella,159,position: absolute; top: 31.12%; left: 51.82%;,31.12,51.82
yedoensis_141,yedoensis,141,position: absolute; top: 81.93%; left: 72.73%;,81.93,72.73
yedoensis_156,yedoensis,156,position: absolute; top: 89.36%; left: 36.36%;,89.36,36.36
pendula_80,pendula,80,position: absolute; top: 21.49%; left: 26.91%;,21.49,26.91
accolade_152,accolade,152,position: absolute; top: 19.08%; left: 56.18%;,19.08,56.18
accolade_151,accolade,151,position: absolute; top: 22.09%; left: 54.55%;,22.09,54.55
pendula_127,pendula,127,position: absolute; top: 16.27%; left: 73.45%;,16.27,73.45
jugatsu_zakura_109,jugatsu_zakura,109,position: absolute; top: 30.12%; left: 34.91%;,30.12,34.91
spire_88,spire,88,position: absolute; top: 74.7%; left: 33.45%;,74.7,33.45
spire_83,spire,83,position: absolute; top: 21.49%; left: 34.55%;,21.49,34.55
accolade_79,accolade,79,position: absolute; top: 20.68%; left: 51.45%;,20.68,51.45
fudan_zakura_124,fudan_zakura,124,position: absolute; top: 9.24%; left: 79.27%;,9.24,79.27
fudan_zakura_107,fudan_zakura,107,position: absolute; top: 26.31%; left: 34.91%;,26.31,34.91
okame_87,okame,87,position: absolute; top: 69.08%; left: 33.45%;,69.08,33.45
